idnum,idstr,parm,label,estimate,stderr,z,p,stars,min95,max95,table_order,model_sequence
3,"NEWS risk 3","teaching_hosp","(firstnm) teaching_hosp",1.113,.04581557,2.6035943,0.009,"**",1.027,1.207,1,1
3,"NEWS risk 3","hes_overnight_c","(firstnm) hes_overnight_c",1.005,.00059048,9.068523,0.000,"***",1.004,1.006,1,1
3,"NEWS risk 3","0.ccot_shift_pattern","(firstnm) ccot_shift_pattern",0.631,.05277926,-5.5040937,0.000,"***",0.536,0.743,1,1
3,"NEWS risk 3","1.ccot_shift_pattern","(firstnm) ccot_shift_pattern",0.628,.02741105,-10.648666,0.000,"***",0.577,0.685,1,1
3,"NEWS risk 3","2.ccot_shift_pattern","(firstnm) ccot_shift_pattern",0.726,.02809385,-8.286785,0.000,"***",0.672,0.783,1,1
3,"NEWS risk 3","3b.ccot_shift_pattern","(firstnm) ccot_shift_pattern",1.000,0,,,"",1.000,1.000,1,1
3,"NEWS risk 3","cmp_beds_max_c","(p 50) cmp_beds_max_c",0.989,.00256076,-4.1931203,0.000,"***",0.984,0.994,1,1
3,"NEWS risk 3","winter","Winter",1.183,.04105344,4.8401181,0.000,"***",1.105,1.266,1,1
3,"NEWS risk 3","weekend","Day of week",0.867,.02540038,-4.8757448,0.000,"***",0.818,0.918,1,1
3,"NEWS risk 3","_cons","Constant",0.557,.01773101,-18.386959,0.000,"***",0.523,0.593,1,1
